,day,month,year,holiday,temp,increase,power
102,12,1,2017,0,15.1,-3.204532788407951,41684
103,13,1,2017,0,14.6,8.336532002686884,45159
104,14,1,2017,1,15.9,-10.702185610841694,40326
105,15,1,2017,1,17.1,-6.529286316520358,37693
106,16,1,2017,0,16.0,7.7574085373942125,40617
107,17,1,2017,0,16.8,1.8809857941256125,41381
108,18,1,2017,0,17.4,0.7708851888547885,41700
109,19,1,2017,0,18.8,8.894484412470025,45409
110,20,1,2017,0,17.9,-9.51133035301372,41090
111,21,1,2017,1,16.0,-3.723533706497932,39560
112,22,1,2017,1,17.2,-8.561678463094035,36173
113,23,1,2017,0,17.6,5.744616150167253,38251
114,24,1,2017,0,18.6,-4.316227026744398,36600
115,24,1,2017,0,18.6,-4.316227026744398,36600
116,25,1,2017,0,21.0,-10.814207650273225,32642
117,25,1,2017,0,21.0,-10.814207650273225,32642
118,26,1,2017,0,21.0,-11.788493352123034,28794
119,27,1,2017,1,20.2,2.194901715635202,29426
120,28,1,2017,1,20.7,-12.709848433358252,25686
121,29,1,2017,1,21.0,-5.481585299384879,24278
122,30,1,2017,1,21.3,-1.717604415520224,23861
123,31,1,2017,1,20.5,5.7751142030929135,25239
124,1,2,2017,1,21.2,9.643805222076942,27673
125,2,2,2017,0,21.1,16.803382358255337,32323
126,3,2,2017,0,20.6,6.336045540327323,34371
127,4,2,2017,1,20.9,-0.2007506328009077,34302
128,5,2,2017,1,21.3,8.355197947641537,37168
129,6,2,2017,0,20.3,-0.1264528626775721,37121
130,7,2,2017,0,22.0,6.1851782010182905,39417
131,8,2,2017,0,21.7,2.2807418119085674,40316
132,9,2,2017,0,17.2,-1.8851076495684096,39556
133,10,2,2017,0,16.2,-2.123571645262413,38716
134,11,2,2017,1,16.0,-1.0434962289492715,38312
135,12,2,2017,1,16.8,-4.860096053455837,36450
136,13,2,2017,0,17.1,7.116598079561043,39044
137,14,2,2017,0,17.9,4.978998053478128,40988
138,15,2,2017,0,18.9,-0.5904167073289743,40746
139,16,2,2017,0,21.4,1.1412163157119717,41211
140,17,2,2017,0,21.9,-0.5605299555943801,40980
141,18,2,2017,1,22.2,-6.329917032698878,38386
142,19,2,2017,1,21.4,-2.5816704006669102,37395
143,20,2,2017,0,22.3,18.331327717609305,44250
144,21,2,2017,0,23.9,-5.868926553672316,41653
145,22,2,2017,0,25.0,2.945766211317312,42880
146,23,2,2017,0,21.3,-5.599347014925373,40479
147,24,2,2017,0,15.9,-0.5187875194545319,40269
148,25,2,2017,1,14.9,-2.6000148997988526,39222
149,28,2,2017,0,18.8,4.3433010103061385,41105
150,1,3,2017,0,16.9,-1.7735068726432306,40376
151,2,3,2017,0,19.6,2.4668119675054485,41372
152,3,3,2017,0,20.4,2.7071449289374456,42492
153,4,3,2017,1,21.5,-7.384919514261508,39354
154,5,3,2017,1,23.0,-1.50937642933374,38760
155,6,3,2017,0,22.0,6.194530443756451,41161
156,7,3,2017,0,17.8,-0.5879351813609971,40919
157,8,3,2017,0,16.4,1.6935897749211857,41612
158,9,3,2017,0,16.7,2.191675478227434,42524
159,10,3,2017,0,19.0,-1.4156711504091808,41922
160,11,3,2017,1,20.5,-4.06469157005868,40218
161,12,3,2017,1,22.5,-2.3670993087672185,39266
162,13,3,2017,0,24.3,7.917791473539449,42375
163,14,3,2017,0,24.9,3.1929203539823012,43728
164,15,3,2017,0,20.3,-2.417215514087084,42671
165,16,3,2017,0,20.7,0.22263363877106235,42766
166,17,3,2017,0,20.9,1.9033811906654816,43580
167,18,3,2017,1,22.8,-3.4625975217989904,42071
168,19,3,2017,1,23.8,-7.803475077844597,38788
169,20,3,2017,0,24.8,14.107455914200267,44260
170,21,3,2017,0,24.7,-2.5915047446904658,43113
171,22,3,2017,0,25.2,1.5818894532971493,43795
172,23,3,2017,0,25.7,3.3222970658750994,45250
173,24,3,2017,0,26.1,-3.2839779005524865,43764
174,25,3,2017,1,22.6,-12.012156110044787,38507
175,26,3,2017,1,19.6,-4.508271223413924,36771
176,27,3,2017,0,19.3,8.580131081558836,39926
177,28,3,2017,0,21.5,3.9322747082101888,41496
178,29,3,2017,0,21.8,-4.610082899556583,39583
179,30,3,2017,0,24.4,4.600459793345628,41404
180,31,3,2017,0,21.7,-0.26325958844556085,41295
181,1,4,2017,1,21.8,-6.644872260564232,38551
182,2,4,2017,1,20.9,-7.452465565095588,35678
183,5,4,2017,0,23.6,0.9141551206970432,42390
184,6,4,2017,1,24.7,-11.656050955414011,37449
185,7,4,2017,0,25.1,12.390183983550964,42089
186,8,4,2017,1,25.6,0.15205873268549974,42153
